,Region,Department,Commune_Code_INSEE,City
43,PAYS DE LA LOIRE,MAYENNE,53130,LAVAL
621,NOUVELLE-AQUITAINE,GIRONDE,33069,LE BOUSCAT
545,NOUVELLE-AQUITAINE,GIRONDE,33069,LE BOUSCAT
246,NOUVELLE-AQUITAINE,GIRONDE,33069,LE BOUSCAT
38,NOUVELLE-AQUITAINE,GIRONDE,33069,LE BOUSCAT
642,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06030,LE CANNET
580,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06030,LE CANNET
214,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06030,LE CANNET
24,PROVENCE-ALPES-COTE D'AZUR,ALPES-MARITIMES,06030,LE CANNET
783,ILE-DE-FRANCE,YVELINES,78158,LE CHESNAY-ROCQUENCOURT
518,ILE-DE-FRANCE,YVELINES,78158,LE CHESNAY-ROCQUENCOURT
335,ILE-DE-FRANCE,YVELINES,78158,LE CHESNAY-ROCQUENCOURT
144,ILE-DE-FRANCE,YVELINES,78158,LE CHESNAY-ROCQUENCOURT
1,GUADELOUPE,GUADELOUPE,97113,LE GOSIER
655,NORMANDIE,SEINE-MARITIME,76351,LE HAVRE
539,NORMANDIE,SEINE-MARITIME,76351,LE HAVRE
330,NORMANDIE,SEINE-MARITIME,76351,LE HAVRE
131,NORMANDIE,SEINE-MARITIME,76351,LE HAVRE
716,PAYS DE LA LOIRE,SARTHE,72181,LE MANS
575,PAYS DE LA LOIRE,SARTHE,72181,LE MANS
305,PAYS DE LA LOIRE,SARTHE,72181,LE MANS
109,PAYS DE LA LOIRE,SARTHE,72181,LE MANS
710,ILE-DE-FRANCE,VAL-DE-MARNE,94058,LE PERREUX SUR MARNE
509,ILE-DE-FRANCE,VAL-DE-MARNE,94058,LE PERREUX SUR MARNE
401,ILE-DE-FRANCE,VAL-DE-MARNE,94058,LE PERREUX SUR MARNE
139,ILE-DE-FRANCE,VAL-DE-MARNE,94058,LE PERREUX SUR MARNE
756,ILE-DE-FRANCE,HAUTS-DE-SEINE,92060,LE PLESSIS ROBINSON
469,ILE-DE-FRANCE,HAUTS-DE-SEINE,92060,LE PLESSIS ROBINSON
381,ILE-DE-FRANCE,HAUTS-DE-SEINE,92060,LE PLESSIS ROBINSON
116,ILE-DE-FRANCE,HAUTS-DE-SEINE,92060,LE PLESSIS ROBINSON
497,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93045,LES LILAS
389,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93045,LES LILAS
27,ILE-DE-FRANCE,SEINE-SAINT-DENIS,93045,LES LILAS
687,PAYS DE LA LOIRE,VENDEE,85194,LES SABLES D'OLONNE
576,PAYS DE LA LOIRE,VENDEE,85194,LES SABLES D'OLONNE
353,PAYS DE LA LOIRE,VENDEE,85194,LES SABLES D'OLONNE
160,PAYS DE LA LOIRE,VENDEE,85194,LES SABLES D'OLONNE
647,ILE-DE-FRANCE,HAUTS-DE-SEINE,92044,LEVALLOIS-PERRET
463,ILE-DE-FRANCE,HAUTS-DE-SEINE,92044,LEVALLOIS-PERRET
375,ILE-DE-FRANCE,HAUTS-DE-SEINE,92044,LEVALLOIS-PERRET
57,ILE-DE-FRANCE,HAUTS-DE-SEINE,92044,LEVALLOIS-PERRET
643,LES-HAUTS-DE-FRANCE,NORD,59350,LILLE
531,LES-HAUTS-DE-FRANCE,NORD,59350,LILLE
282,LES-HAUTS-DE-FRANCE,NORD,59350,LILLE
39,LES-HAUTS-DE-FRANCE,NORD,59350,LILLE
640,NOUVELLE-AQUITAINE,HAUTE-VIENNE,87085,LIMOGES
552,NOUVELLE-AQUITAINE,HAUTE-VIENNE,87085,LIMOGES
355,NOUVELLE-AQUITAINE,HAUTE-VIENNE,87085,LIMOGES
