,Commune_Code_INSEE,Year,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
233,21054,2021,0.0010706638115631703,0.25824695107383266,0.18896359842337118
37,21054,2022,0.0,0.2933301612195002,0.20834685833526545
605,60057,2019,0.010706638115631696,0.5346966716444711,0.47322049617435663
535,60057,2020,0.010706638115631696,0.6149301942148492,0.3753767679109668
286,60057,2021,0.010706638115631696,0.6519704912937044,0.3777417111059587
2,60057,2022,0.012847965738758037,0.6189580410822274,0.40306051472293064
771,25056,2019,0.049250535331905786,0.06898492524994237,0.07516809645258521
429,25056,2020,0.04603854389721628,0.10348669296570356,0.08773475539067932
235,25056,2021,0.05460385438972163,0.10983427381814026,0.10985392997913285
167,25056,2022,0.05888650963597431,0.13670888495336653,0.12497101785300252
651,34032,2019,0.029978586723768734,0.22766639891477503,0.19772779967539994
563,34032,2020,0.02462526766595289,0.23257948685190677,0.1968467424066775
256,34032,2021,0.02890792291220557,0.21230796933243268,0.21553443079063295
88,34032,2022,0.03961456102783726,0.21594952918755494,0.23357291908184558
644,64122,2019,0.2259100642398287,0.20670026894227267,0.20468351495478782
555,64122,2020,0.2376873661670236,0.19151134290567307,0.15395316485045213
292,64122,2021,0.30085653104925053,0.21625030996011885,0.16893113841873403
66,64122,2022,0.37901498929336186,0.23948637910750603,0.18942731277533037
785,92009,2019,0.07708779443254818,0.04867518141154714,0.03872014838859261
451,92009,2020,0.0877944325481799,0.09637458573484314,0.06872246696035239
362,92009,2021,0.1081370449678801,0.09742279163789214,0.07238581034083003
199,92009,2022,0.13062098501070665,0.08934295496486955,0.064363552051936
631,92014,2019,0.1145610278372591,0.23759166143150534,0.2298168328309761
453,92014,2020,0.11884368308351179,0.2421159474669784,0.2043589149084164
364,92014,2021,0.13918629550321202,0.23273239212759156,0.18265708323672614
61,92014,2022,0.14453961456102785,0.24385172413272793,0.20528634361233478
174,18033,2022,0.0010706638115631703,0.12784691767610135,0.12932993276141896
633,29019,2019,0.02676659528907923,0.2635116205494631,0.22337120333874333
430,29019,2020,0.03104925053533191,0.2921853835633871,0.24280083468583352
239,29019,2021,0.029978586723768734,0.3116144131329538,0.2920936702990958
28,29019,2022,0.044967880085653104,0.31971487189907866,0.28388592626941805
606,19031,2019,0.007494646680942185,0.44519376971358937,0.45977277996754
542,19031,2020,0.008565310492505356,0.4685269135919211,0.46292603756086254
232,19031,2021,0.008565310492505356,0.5116799008530003,0.43667980523997213
12,19031,2022,0.01605995717344754,0.4661961140934906,0.42072803153257593
758,69029,2019,0.0139186295503212,0.09022316625581761,0.08657546951078132
419,69029,2020,0.012847965738758037,0.07294487010344752,0.08203106886158124
298,69029,2021,0.01605995717344754,0.10529640737989265,0.09394852770693252
193,69029,2022,0.020342612419700222,0.09920132142348781,0.08722466960352421
664,91114,2019,0.005353319057815845,0.19247404256903,0.181034083004869
446,91114,2020,0.008565310492505356,0.15869103024456288,0.1444006492000927
356,91114,2021,0.008565310492505356,0.259896215544129,0.27220032460004634
102,91114,2022,0.0139186295503212,0.2022368432303453,0.19902619986088566
787,94016,2019,0.0,0.03463505685410473,0.03519591931370275
501,94016,2020,0.0,0.07538431282407498,0.060421980060282876
393,94016,2021,0.009635974304068519,0.0918588503233394,0.07609552515650359
187,94016,2022,0.010706638115631696,0.10844907273512827,0.07924878274982611
666,14118,2019,0.1563169164882227,0.1809603759055488,0.17853002550428937
538,14118,2020,0.15203426124197003,0.17702407101242923,0.17370739624391374
230,14118,2021,0.1734475374732334,0.20304110486133153,0.18993739856248548
92,14118,2022,0.19700214132762314,0.21263490495478476,0.20069557152793877
741,06027,2019,0.10920770877944327,0.0860912029671671,0.1048921864131695
578,06027,2020,0.11027837259100642,0.11335863982709637,0.12339438905634126
212,06027,2021,0.11670235546038546,0.10431710944647798,0.11050313007187573
86,06027,2022,0.11777301927194861,0.21787744340367154,0.1414792487827498
694,69034,2019,0.16809421841541758,0.19706371572897352,0.14903779271968465
420,69034,2020,0.1745182012847966,0.21848101686032162,0.17843728263389752
299,69034,2021,0.19379014989293364,0.28923592127189035,0.23858103408300485
35,69034,2022,0.23126338329764454,0.3023324593254363,0.18887085555297933
614,06029,2019,0.6156316916488224,0.4715679178576765,0.3329932761418966
579,06029,2020,0.6498929336188437,0.5376561934935787,0.3415719916531416
213,06029,2021,0.6563169164882228,0.5004267767316398,0.32242058891722697
4,06029,2022,0.7023554603854391,0.6095835393446903,0.34106190586598656
352,84031,2021,0.0021413276231263406,0.09771351285284535,0.08504521214931599
206,84031,2022,0.008565310492505356,0.060950859564049,0.06394620913517274
77,44026,2022,0.007494646680942185,0.23043730405867946,0.20370971481567351
564,34057,2020,0.049250535331905786,0.18437358380290514,0.18386274055182006
257,34057,2021,0.05460385438972163,0.22973112311439892,0.27359146765592396
41,34057,2022,0.055674518201284794,0.28718025067411623,0.29478321354045905
85,85047,2022,0.003211991434689511,0.21936474899643355,0.219522374217482
768,73065,2019,0.06316916488222699,0.08151158936483449,0.07744029677718522
427,73065,2020,0.06316916488222699,0.1266141188908937,0.12353350336192903
307,73065,2021,0.07066381156316917,0.08397366609008639,0.05040575005796427
183,73065,2022,0.07815845824411136,0.11359503943095095,0.09357755622536518
686,94017,2019,0.012847965738758037,0.14241818687539587,0.15576165082309296
502,94017,2020,0.01177730192719486,0.1373803604238898,0.1491305355900765
394,94017,2021,0.020342612419700222,0.14888245859611826,0.14806399258057035
129,94017,2022,0.02676659528907923,0.1682551546430643,0.16025968003709712
724,94018,2019,0.15845824411134904,0.14818331934216544,0.12283793183399022
503,94018,2020,0.17130620985010708,0.14794842867195224,0.12320890331555762
395,94018,2021,0.18950749464668096,0.16059631045605516,0.13364247623463943
128,94018,2022,0.20770877944325486,0.1727236101337971,0.13698121956874565
636,28085,2019,0.03961456102783726,0.22189020093463363,0.2180848597264085
434,28085,2020,0.03533190578158458,0.2760589067574576,0.25355900765128675
238,28085,2021,0.03747323340471092,0.24282212841125894,0.2175747739392534
55,28085,2022,0.04817987152034261,0.2536245843516539,0.24242986320426618
674,92019,2019,0.05353319057815847,0.1583062521659485,0.16707628101089728
454,92019,2020,0.06316916488222699,0.12480742234398778,0.11875724553674932
365,92019,2021,0.06745182012847967,0.14732875992312489,0.1405054486436355
157,92019,2022,0.08029978586723771,0.14671160606370026,0.12877347553906793
656,92020,2019,0.04068522483940044,0.17570777789905134,0.1860885694412242
455,92020,2020,0.04389721627408994,0.16509393866385935,0.17356828193832596
366,92020,2021,0.051391862955032126,0.19074379865996638,0.19652214236030602
96,92020,2022,0.06531049250535331,0.20782995726196962,0.20635288662184093
745,78146,2019,0.19379014989293364,0.1278102002908218,0.09580338511476927
517,78146,2020,0.18308351177730195,0.13329768896753225,0.09784372826338972
334,78146,2021,0.20449678800856533,0.13113337514756107,0.0893577556225365
158,78146,2022,0.23661670235546042,0.1456367423329824,0.0934384419197774
788,92022,2019,0.06102783725910065,0.013149350731002984,0.032877347553906755
