,City,Avg_Annual_Growth_Number_of_Taxpayers,Avg_Annual_Growth_Average_Assets_in_Euro,Avg_Annual_Growth_Average_Tax_in_Euro
27,BOURG LA REINE,5.674157190191722,0.182359262892807,-1.6071147806427446
28,BREST,7.244892294026204,1.5586265324970954,4.169644062760737
29,BRIVE,4.5295149035651665,0.5458681190554965,-1.844914911496166
30,BRON,3.086670274170274,0.3171371254474494,0.09353565466056302
31,BRUNOY,4.610573042776433,0.4850643379631296,3.259293456957384
32,CACHAN,6.437908496732027,2.5161744589198056,4.900166881408471
33,CAEN,6.220291981792947,0.9544684947738847,1.704012333706742
34,CAGNES SUR MER,1.724899555781909,4.299221170048705,3.4198823623253887
35,CALUIRE ET CUIRE,8.794012411479379,3.066619070521611,3.711208089917772
36,CANNES,4.166526268021092,3.2888311395551573,0.4939615380423512
37,CARPENTRAS,11.320754716981133,-3.605542145970934,-6.237148732008225
38,CASTELNAU LE LEZ,3.0675156660602383,4.544258455608262,12.275429567387196
39,CHAMBERY,4.115514115514116,1.1243340957251768,2.9159966861720554
40,CHAMPIGNY SUR MARNE,6.629117596859532,0.8072360173965615,0.38422443953291235
41,CHARENTON LE PONT,7.181054380853577,0.7601890039036457,1.2444203987811846
42,CHARTRES,3.15446827074734,0.9629703472602512,1.9018056701660884
43,CHATENAY MALABRY,7.691190171648743,-0.335744340016395,-2.876410463613542
44,CHATILLON,8.036931766780327,0.9761133688616704,1.5713279421172033
45,CHATOU,5.6984527987662785,0.5649813361389098,-0.21381165705004412
46,CHAVILLE,10.08242907960422,1.882299495631199,3.580669967767458
47,CLAMART,9.964349342796147,1.2151864592649686,2.4709243661746343
48,CLERMONT-FERRAND,5.951343888639382,2.8167195175924857,7.532097394802174
49,CLICHY,9.273142112125164,2.4857859137106018,6.184188538932778
50,COLMAR,3.4300557829969596,-2.1763661028952863,-1.0831099271034361
51,COLOMBES,10.14739824101178,1.6636641024739465,3.2211858081144524
52,COMPIEGNE,4.208428535161208,0.7318585936925296,8.0039189064261
53,COURBEVOIE,9.090486647572229,0.762988504571072,1.0729840657721985
54,CRETEIL,1.9491163326779766,1.0487768558893587,1.8121605913367211
55,CROIX,9.42667125329664,2.0145332708445163,3.247619367489443
56,DIJON,4.7835286096474645,-0.21997594787133323,-0.5822447627936587
57,DRAGUIGNAN,-1.4218645204560698,-1.8445651542827826,-3.220580882548413
58,DUNKERQUE,4.086492337211878,2.2638169696181327,5.381455476919239
59,EYSINES,9.615384615384617,-2.727371226731965,-5.638271906272883
60,FONTENAY AUX ROSES,8.418815722186508,0.6046826225960148,-0.260187464431644
61,FONTENAY SOUS BOIS,2.1912524175746806,1.881125149096306,1.8340023600482567
62,FREJUS,1.7375995101041026,0.1651317648751872,0.0247597898953759
63,GAP,7.7552856500224925,0.4303411697189012,-3.489888484315396
64,GIF SUR YVETTE,6.473922902494331,1.7228044575578494,2.687301519796085
65,GRADIGNAN,5.066340069401918,4.975104920948442,6.9421073373743925
66,GRASSE,-0.2602491892814474,3.446496336248574,16.957338243533435
67,GRENOBLE,-0.5444277251671177,1.6478970558730917,1.5807281175661998
68,GUJAN-MESTRAS,28.30188679245283,-2.1738466554954967,-7.126893469083686
69,HYERES,4.992780963817515,1.3576607797878555,2.760310382528711
70,ISSY LES MOULINEAUX,13.20091341427321,0.4508685882831871,1.269929046376711
71,L'HAY LES ROSES,4.573763644082884,-1.3280507318189094,-2.362493863921475
72,LA CELLE-SAINT-CLOUD,4.71882227979789,0.7040245615824542,1.3352013064422892
73,LA CIOTAT,8.364424057084607,1.211155005337669,2.008706287914613
74,LA GARENNE COLOMBES,10.750722436115694,1.952693277333078,5.467233877836795
75,LA MADELEINE,6.546342482148165,-0.4882485731145006,-0.59023028777442
76,LA ROCHELLE,11.546006485293104,1.412886261252592,1.5210408690945032
77,LA SEYNE SUR MER,3.1354731595539227,-0.5801837687549313,-3.145889641031925
78,LA TESTE DE BUCH,13.33420547706262,0.2145367662612613,1.0957224233102512
79,LAMBERSART,15.72677010879258,-0.013264480099802078,-0.26546516210026727
80,LAVAL,6.720452368970342,-1.1048921915329244,-3.8941571433124325
81,LE BOUSCAT,12.813983707386027,-0.2156614883873665,-0.3369935372188723
82,LE CANNET,-0.8176357684093268,2.331409059113549,5.853003759177649
83,LE CHESNAY-ROCQUENCOURT,11.926414730696601,3.1383024986404706,8.138117368516113
84,LE HAVRE,5.075897672985051,-0.5743244276337139,-2.1958455630932163
85,LE MANS,3.7450033860488112,1.492303533587939,3.1420024298246285
86,LE PERREUX SUR MARNE,5.0382605512663305,-0.0721086982589892,0.6616898330266766
87,LE PLESSIS ROBINSON,7.272157535376191,1.6030191623372059,4.841123047855985
88,LES LILAS,6.677765445800962,11.53117834581448,49.38419968291525
89,LES SABLES D'OLONNE,15.960581702980974,-0.23382646302795296,-0.9888641407932207
90,LEVALLOIS-PERRET,7.275932338826533,0.4511922289177077,-1.2096822586197642
91,LILLE,8.98125801729112,0.6733482652120717,0.5099794436034474
92,LIMOGES,4.452820087109867,0.45979902974532116,2.1149988196465945
93,LYON,8.087862500852902,1.6718190727080258,0.8601065337287315
94,MAISONS-ALFORT,7.3296320753947874,1.284380378202208,2.9214347455851755
